state,confirmed,dead
New York,46094,605
New Jersey,8825,108
California,4885,102
Washington,3726,175
Michigan,3657,92
Massachusetts,3240,35
Florida,3198,46
Illinois,3029,34
Louisiana,2746,119
Pennsylvania,2345,23
Georgia,2198,65
Texas,2009,26
Colorado,1740,31
Tennessee,1321,6
Connecticut,1291,27
Ohio,1139,19
Indiana,981,25
North Carolina,944,5
Wisconsin,926,14
Maryland,781,5
Missouri,705,9
Arizona,665,13
Alabama,639,4
Nevada,621,10
Virginia,610,12
Mississippi,579,8
South Carolina,542,13
Utah,479,1
Oregon,414,12
Minnesota,398,4
Arkansas,386,3
Oklahoma,322,8
District of Columbia,304,4
Kentucky,301,7
Iowa,235,3
Idaho,234,4
Kansas,219,4
Rhode Island,203,0
New Mexico,191,1
New Hampshire,187,2
Vermont,184,10
Maine,168,1
Delaware,165,2
Montana,121,1
Hawaii,120,0
Grand Princess,103,3
West Virginia,96,0
Nebraska,90,2
Alaska,84,2
Puerto Rico,79,3
Wyoming,73,0
North Dakota,68,1
South Dakota,58,1
Guam,51,1
Diamond Princess,49,0
Virgin Islands,19,0
American Samoa,0,0
Northern Mariana Islands,0,0
Recovered,0,0
